step,steer,drift,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,q_w,q_x,q_y,q_z,drift_input,slip,trigger,trigger_timer,linger_timer
118,1,0,0.190193936,-11.4199047,0.00773871411,2.61991954,-17.8656902,0.168853685,2.38033673e-11,-0.788860142,1.62387943,0.981712878,0.00239415932,-0.053170871,0.182831615,0,0,0,0,0
119,1,0,0.203887731,-11.5089464,0.00865081046,2.73875952,-17.8083744,0.1824193,1.97943571e-11,-0.803019702,1.62271667,0.980854392,0.00254547317,-0.0551508516,0.186807483,0,0,0,0,0
120,1,0,0.218175426,-11.5976963,0.0096334694,2.85753918,-17.7499638,0.196531817,1.95162775e-11,-0.817211688,1.62136328,0.979974449,0.00270354981,-0.0571645014,0.190776125,0,0,0,0,0
121,1,0,0.233056545,-11.6861486,0.0106894691,2.97622252,-17.6904678,0.211199954,1.7697243e-11,-0.831433058,1.61983287,0.979072988,0.00286857225,-0.0592118017,0.194736987,0,0,0,0,0
122,1,0,0.248530418,-11.7742977,0.0118216295,3.09477305,-17.6298943,0.226432145,2.07976587e-11,-0.845680773,1.61813796,0.978149891,0.00304072257,-0.0612927377,0.19868958,0,0,0,0,0
123,1,0,0.264596194,-11.8621387,0.0130328126,3.21315455,-17.5682526,0.242236599,2.24962965e-11,-0.859951854,1.61629021,0.977205098,0.00322018075,-0.0634072721,0.202633396,0,0,0,0,0
124,1,0,0.281252861,-11.949667,0.0143259186,3.33133149,-17.5055542,0.258621246,2.30338335e-11,-0.874243259,1.61430037,0.976238489,0.00340712653,-0.0655553713,0.206567943,0,0,0,0,0
125,1,0,0.298499197,-12.0368757,0.0157038867,3.4492681,-17.4418087,0.275593728,1.96978753e-11,-0.88855195,1.61217856,0.975250065,0.00360173755,-0.0677369907,0.210492849,0,0,0,0,0
126,1,0,0.31633383,-12.1237612,0.0171696935,3.5669291,-17.3770275,0.293161452,1.37132441e-11,-0.902875006,1.60993421,0.974239647,0.00380418845,-0.0699520633,0.214407638,0,0,0,0,0
127,1,0,0.334755242,-12.2103176,0.0187263507,3.68427944,-17.311224,0.311331511,6.72496694e-12,-0.917209446,1.60757601,0.973207176,0.00401465502,-0.0722005442,0.218312025,0,0,0,0,0
128,1,0,0.353761673,-12.2965393,0.0203769039,3.80128479,-17.2444096,0.330110699,7.86268967e-12,-0.931552351,1.60511196,0.97215265,0.00423330814,-0.0744823441,0.222205609,0,0,0,0,0
129,1,0,0.373351216,-12.3824224,0.022124432,3.91791058,-17.1765995,0.349505484,1.52546101e-11,-0.945900738,1.60254979,0.971075714,0.00446031662,-0.076797381,0.226087943,0,0,0,0,0
130,1,0,0.393521845,-12.4679613,0.0239720419,4.03412294,-17.1078072,0.369522095,1.62741123e-11,-0.960251749,1.59989643,0.969976604,0.00469585089,-0.0791455656,0.229958847,0,0,0,0,0
131,1,0,0.414271295,-12.5531511,0.025922874,4.14988852,-17.0380459,0.390166402,1.73323855e-11,-0.97460252,1.59715843,0.968855023,0.00494007394,-0.0815267861,0.23381789,0,0,0,0,0
132,1,0,0.435597181,-12.6379881,0.0279800929,4.26517439,-16.9673328,0.411443919,1.47063108e-11,-0.988950193,1.59434187,0.967710912,0.00519314781,-0.0839409307,0.237664774,0,0,0,0,0
133,1,0,0.457496911,-12.7224665,0.0301468931,4.37994766,-16.8956852,0.433359861,1.44377418e-11,-1.00329196,1.5914526,0.966544151,0.00545523595,-0.0863878876,0.241499275,0,0,0,0,0
134,1,0,0.479967803,-12.8065825,0.0324264877,4.49417639,-16.8231182,0.455919147,1.44736341e-11,-1.01762509,1.58849585,0.965354681,0.00572649483,-0.0888675153,0.245321035,0,0,0,0,0
135,1,0,0.503006935,-12.8903303,0.0348221175,4.60782862,-16.749649,0.479126275,1.48204019e-11,-1.03194678,1.58547664,0.964142263,0.0060070795,-0.0913796872,0.249129862,0,0,0,0,0
136,1,0,0.526611328,-12.9737072,0.0373370461,4.72087383,-16.6752949,0.502985477,1.35423339e-11,-1.0462544,1.58239985,0.962906957,0.00629714411,-0.0939242542,0.252925485,0,0,0,0,0
137,1,0,0.550777733,-13.0567074,0.0399745479,4.83328104,-16.6000748,0.52750057,1.07442744e-11,-1.06054521,1.57926965,0.961648524,0.00659683859,-0.0965010598,0.256707668,0,0,0,0,0
138,1,0,0.575502813,-13.139327,0.0427379236,4.9450202,-16.5240078,0.552675009,1.14752357e-11,-1.07481658,1.57609022,0.960366845,0.0069063087,-0.0991099179,0.260476083,0,0,0,0,0
139,1,0,0.60078311,-13.2215624,0.0456304848,5.05606127,-16.447113,0.578511953,1.82442707e-11,-1.08906591,1.57286549,0.959061861,0.00722570019,-0.101750687,0.264230639,0,0,0,0,0
140,0,0,0.62652123,-13.3034658,0.0486333407,5.14762688,-16.3806934,0.600570977,2.06778934e-11,-1.10061109,1.43562281,0.957822621,0.00758746313,-0.104414314,0.267649829,0,0,0,0,0
141,0,0,0.652715445,-13.3850336,0.0517495722,5.2388382,-16.3135357,0.62324661,2.39949848e-11,-1.11216819,1.31009543,0.956645846,0.00798957795,-0.107101217,0.27076304,0,0,0,0,0
142,0,0,0.679362714,-13.4662628,0.0549819842,5.32945824,-16.2458687,0.646482527,2.80269644e-11,-1.12369907,1.19530475,0.955527127,0.00843009353,-0.109811537,0.273596823,0,0,0,0,0
143,0,0,0.706459105,-13.5471525,0.0583331063,5.41927862,-16.1778984,0.670224547,2.68733508e-11,-1.13516986,1.09035301,0.954461575,0.00890713278,-0.112545267,0.276175201,0,0,0,0,0
